nonstereo_aromatic_smiles,pPot,chembl_cid,chembl_tid
Brc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,6.2441251443275085,CHEMBL249530,CHEMBL262
Brc1cnn2c(NCc3cccnc3)cc(-c3ccco3)nc12,6.508638306165727,CHEMBL250145,CHEMBL262
Brc1cnn2c(NCc3cccnc3)cc(-c3cccs3)nc12,6.318758762624412,CHEMBL404208,CHEMBL262
Brc1cnn2c(NCc3cccnc3)cc(C3CC3)nc12,5.94692155651658,CHEMBL401056,CHEMBL262
Brc1cnn2c(NCc3cccnc3)cc(C3CCCCC3)nc12,7.568636235841012,CHEMBL251393,CHEMBL262
Brc1cnn2c(NCc3cccnc3)cc(C3CCCNC3)nc12,6.7447274948966935,CHEMBL251601,CHEMBL262
Brc1cnn2c(NCc3cccnc3)cc(C3CCNCC3)nc12,6.3872161432802645,CHEMBL251196,CHEMBL262
C#CC(=O)c1ccc2nc(NC(=O)NCc3ccc(OC)cc3)[nH]c2c1,5.607303046740334,CHEMBL4556827,CHEMBL262
C#CC(=O)c1ccc2nc(NC(=O)NCc3ccc(OC)cc3)sc2c1,5.375717904164332,CHEMBL4571262,CHEMBL262
C#CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OC2CC21,7.642065152999546,CHEMBL4463980,CHEMBL4822
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,7.0,CHEMBL13878,CHEMBL230
C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,7.823908740944319,CHEMBL13920,CHEMBL230
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,5.549012058582651,CHEMBL356385,CHEMBL220
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,6.212987305964141,CHEMBL1929421,CHEMBL220
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,6.337242168318426,CHEMBL1929421,CHEMBL4822
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,6.275724130399211,CHEMBL4173258,CHEMBL220
C#CCN(C)Cc1ccc(O)c2ncccc12,5.7447274948966935,CHEMBL3291021,CHEMBL220
C#CCN(C)Cc1ccc(O)c2ncccc12,5.795880017344075,CHEMBL3291021,CHEMBL4822
C#CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1,7.221848749616356,CHEMBL260701,CHEMBL284
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,5.920818753952375,CHEMBL4075667,CHEMBL220
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,6.187086643357144,CHEMBL2022933,CHEMBL220
C#CCNC(=O)C=Cc1c(C=Cc2ccc(OC)cc2)cc(OC)cc1OC,5.041914151478915,CHEMBL2333744,CHEMBL230
C#CCNC1CCc2ccccc21,7.721246399047171,CHEMBL1201142_CHEMBL887,CHEMBL220
C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,7.333482019445119,CHEMBL4212275,CHEMBL220
C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,8.0268721464003,CHEMBL4632951,CHEMBL220
C#CCNc1c2c(nc3ccccc13)CCCC2,7.294992040666663,CHEMBL4633540,CHEMBL220
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,9.0,CHEMBL4225157,CHEMBL220
C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,6.176525770829699,CHEMBL221508,CHEMBL260
C#CCOCCn1c(SCc2ccc([S+](C)[O-])cc2)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,5.303294219066083,CHEMBL225101,CHEMBL260
C#CCON=Cc1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F,7.2839966563652,CHEMBL219676,CHEMBL279
C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)nc1,9.154901959985745,CHEMBL4456778,CHEMBL4822
C#CCOc1ccc(C=C2SC(=O)NC2=O)cc1,6.481486060122112,CHEMBL4454251,CHEMBL230
C#CCOc1ccc(C=NNc2c3c(nc4ccccc24)CCCC3)cc1,5.563837352959244,CHEMBL4542112,CHEMBL220
C#CCOc1ccc2c(C3=C(c4cn(C)c5ccc(Br)cc45)C(=O)NC3=O)coc2c1,7.596879478824182,CHEMBL489435,CHEMBL262
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(C(=O)N(C)C)CC43)c2)cn1,9.522878745280336,CHEMBL4472708,CHEMBL4822
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(C(F)F)CC34)c2)cn1,9.69897000433602,CHEMBL4577527,CHEMBL4822
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(CF)CC43)c2)cn1,9.69897000433602,CHEMBL4437161,CHEMBL4822
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)c(C)c1,8.744727494896694,CHEMBL4452318,CHEMBL4822
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)cn1,9.397940008672036,CHEMBL4560579,CHEMBL4822
C#CCOc1cnc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)OCC3(F)F)c2)cn1,7.886056647693163,CHEMBL2347197,CHEMBL4822
C#CCOc1cnc(C(F)=Cc2ccc(F)c(C3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,8.522878745280337,CHEMBL4470897,CHEMBL4822
C#CCOc1cnc(C(F)=Cc2ccc(F)c(C3(C)CS(=O)(=O)N(C)C(N)=N3)c2)cn1,8.096910013008056,CHEMBL4440849,CHEMBL4822
C#CCSc1nc2ccccc2c(=O)n1-c1ccc(Br)cc1,6.7447274948966935,CHEMBL4289748,CHEMBL230
C#CCSc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,6.4089353929735005,CHEMBL4279063,CHEMBL230
C#CCSc1nc2ccccc2c(=O)n1-c1ccc(OC)cc1,6.356547323513812,CHEMBL4289328,CHEMBL230
C#CCSc1nc2ccccc2c(=O)n1-c1ccccc1,6.568636235841012,CHEMBL4293133,CHEMBL230
C#CCc1cn(C)c2c(O)cccc12,5.206209615309181,CHEMBL4555803,CHEMBL230
C#Cc1cc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1F,8.431798275933005,CHEMBL2181905,CHEMBL4822
C#Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,7.585026652029182,CHEMBL1288640,CHEMBL230
C#Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.366531544420413,CHEMBL1288619,CHEMBL230
C#Cc1cc(F)cc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.721246399047171,CHEMBL2181906,CHEMBL4822
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,5.027334407733889,CHEMBL3314276,CHEMBL260
C#Cc1ccc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)OCC3(F)F)c2)nc1,7.494850021680094,CHEMBL2347364,CHEMBL4822
C#Cc1ccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)cc1,7.327902142064282,CHEMBL2181899,CHEMBL4822
C#Cc1ccc(F)c(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.537602002101044,CHEMBL2181907,CHEMBL4822
C#Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,7.136677139879544,CHEMBL1288538,CHEMBL230
C#Cc1cccc(C2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,6.585026652029182,CHEMBL1270833,CHEMBL4822
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,8.468521082957745,CHEMBL2181896,CHEMBL4822
C#Cc1cccc(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1F,7.958607314841775,CHEMBL2181904,CHEMBL4822
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.299988937677888,CHEMBL1079742_CHEMBL553,CHEMBL279
C#Cc1ccn2c(-c3ccnc(SC)n3)c(-c3ccc(F)cc3)nc2n1,5.600326278518962,CHEMBL3314272,CHEMBL260
C#Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,8.301029995663981,CHEMBL1650422,CHEMBL284
C#Cc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,5.00788851221305,CHEMBL249734,CHEMBL262
C#Cc1cscc1CC(NC1=NC(C)(C)Cc2cc(Cl)ccc21)C(=O)O,6.119186407719209,CHEMBL2380819,CHEMBL4822
C#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1C,6.136677139879544,CHEMBL3120972,CHEMBL260
C#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)o1,5.747146969020107,CHEMBL3120973,CHEMBL260
C#Cc1nc(Nc2ccccc2)nc2[nH]cnc12,5.130768280269024,CHEMBL4094562,CHEMBL262
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCSC4)ccc2-3)cs1)COc1ccccc1,7.619788758288394,CHEMBL224027,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cccn4)ccc2-3)cs1)COc1ccccc1,7.698970004336019,CHEMBL224889,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,6.709965388637482,CHEMBL224834,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnn4)ccc2-3)cs1)COc1ccccc1,6.906578314837764,CHEMBL224917,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1,7.207608310501746,CHEMBL224918,CHEMBL279
C(#Cc1cc(-c2n[nH]c3c2Cc2ccccc2-3)cs1)COc1ccccc1,5.329754146925875,CHEMBL389499,CHEMBL279
C(=CC1CCN(Cc2ccccc2)CC1)c1noc2ccccc12,6.679999195735272,CHEMBL126939,CHEMBL220
C(=CC[n+]1cccc2ccccc21)C[n+]1cccc2ccccc21,5.4604093769761874,CHEMBL1761998_CHEMBL1761999,CHEMBL220
C(=Cc1ccccc1)C(=NNc1nncc2ccccc12)c1ccccc1,9.3767507096021,CHEMBL3903713,CHEMBL279
C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1,5.384997385475412,CHEMBL4796307,CHEMBL220
C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1,5.3584267468218245,CHEMBL4796307,CHEMBL4822
C(=NC1CCN(Cc2ccccc2)CC1)c1ccccc1,5.6777807052660805,CHEMBL4537808,CHEMBL220
C(=NC1CCN(Cc2ccccc2)CC1)c1ccccc1,5.468521082957745,CHEMBL4537808,CHEMBL4822
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(-c3ccccc3)nn2)cc1,6.045757490560675,CHEMBL4445026,CHEMBL220
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,5.978810700930062,CHEMBL4466829,CHEMBL220
C(=NNc1nnc(-c2ccncc2)o1)c1ccccc1,6.366531544420413,CHEMBL4571604,CHEMBL230
C1=CCCCCN2CCC3C(c4nccc5c4[nH]c4ccccc45)=CC(=CC1)C1N4CCCCC=CC4CC31C2,5.267606240177031,CHEMBL268202,CHEMBL262
C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1ccc(O)cc1O)CC2=O,5.2839966563652006,CHEMBL243148,CHEMBL4822
C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1ccc(O)cc1OC)CC2=O,5.075720713938118,CHEMBL453642,CHEMBL4822
C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1ccccc1O)CC2=O,5.585026652029182,CHEMBL455679,CHEMBL4822
C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1O)CC2=O,5.481486060122112,CHEMBL243796,CHEMBL4822
C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1OC)CC2=O,5.173925197299173,CHEMBL496451,CHEMBL4822
C=C(C)CC1CNC(C(=O)N2CCCC2C#N)C1,8.244125144327509,CHEMBL437570,CHEMBL284
C=C(CCC(C)C1CCC2C(CCc3cc(O)ccc3C)C(=O)CCC12C)C(C)C,5.314258261397736,CHEMBL1922225,CHEMBL279
C=C(CCCNC(=O)NC12CC3CC(CC(C3)C1)C2)OCCOCCOCC,7.173925197299173,CHEMBL2031948,CHEMBL2409
C=C(CN1CCOCC1)C(=O)Nc1ccc(NC(=O)Nc2ccc(-c3cc(C)nc4noc(N)c34)cc2)cc1C,6.777283528852417,CHEMBL4238294,CHEMBL279
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,5.958607314841775,CHEMBL2047683,CHEMBL1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc(OC)cc1C=CC(=O)NO,5.301029995663981,CHEMBL4517272,CHEMBL1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)c(C=CC(=O)NO)cn2C,5.161150909262744,CHEMBL4448903,CHEMBL1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(C=CC(=O)NO)n2C,5.42021640338319,CHEMBL4460757,CHEMBL1865
C=C(c1ccccc1)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNC2CC2)cc(N(C)S(C)(=O)=O)c1,5.886056647693163,CHEMBL201049,CHEMBL4822
C=C1CC2C3(C)CCC(=O)C(C)(C)C3C(=O)C(O)C2(C)C2C(=O)OC(C)(C(=O)OC)C(=O)C12C,5.478861916295964,CHEMBL4204435_CHEMBL4211219_CHEMBL4215650,CHEMBL4822
C=C1CC2C3(C)CCC(=O)C(C)(C)C3C(=O)C(O)C2(C)C2C(=O)OC(C)C(=O)C12C,5.232844133917819,CHEMBL4216181_CHEMBL4218091,CHEMBL4822
C=C1c2c(Cl)cccc2N=C2CCCCCN12,5.770000934050708,CHEMBL1161716,CHEMBL220
C=C1c2cc(Cl)ccc2N=C2CCCCCN12,6.299997602857746,CHEMBL1161718,CHEMBL220
C=C1c2ccc(Cl)cc2N=C2CCCCCN12,6.799998134593398,CHEMBL1161717,CHEMBL220
C=C1c2cccc(Cl)c2N=C2CCCCCN12,5.820000358220838,CHEMBL1161720,CHEMBL220
C=C1c2ccccc2N=C2CCCCCN12,5.430000267796055,CHEMBL1161719,CHEMBL220
C=CC(=O)N1CC(=Cc2ccc(C)cc2)C(=O)C2(C1)C(c1ccc(C)cc1)CN(C)C21C(=O)Nc2ccccc21,5.125518182300533,CHEMBL3115046,CHEMBL220
C=CC(=O)N1CC(=Cc2ccc(Cl)cc2)C(=O)C2(C1)C(c1ccc(Cl)cc1)CN(C)C21C(=O)Nc2ccccc21,5.075720713938118,CHEMBL3115047,CHEMBL220
C=CC(=O)N1CC(=Cc2ccc(F)cc2)C(=O)C2(C1)C(c1ccc(F)cc1)CN(C)C21C(=O)Nc2ccccc21,5.107905397309519,CHEMBL3115048,CHEMBL220
C=CC(=O)N1CC(=Cc2ccccc2)C(=O)C2(C1)C(c1ccccc1)CN(C)C21C(=O)Nc2ccccc21,5.058488567365597,CHEMBL3115039,CHEMBL220
C=CC(=O)N1CC(=Cc2ccccc2C)C(=O)C2(C1)C(c1ccccc1C)CN(C)C21C(=O)Nc2ccccc21,5.401209493236885,CHEMBL3115040,CHEMBL220
C=CC(=O)N1CC(=Cc2ccccc2Cl)C(=O)C2(C1)C(c1ccccc1Cl)CN(C)C21C(=O)Nc2ccccc21,5.290730039024169,CHEMBL3115042,CHEMBL220
C=CC(=O)N1CC(=Cc2ccccc2F)C(=O)C2(C1)C(c1ccccc1F)CN(C)C21C(=O)Nc2ccccc21,5.162411561764489,CHEMBL3115043,CHEMBL220
C=CC(=O)N1CCC(n2cc(-c3cc4cc(C)cc(OC)c4s3)c3c(N)ncnc32)C1,6.945386945443112,CHEMBL4475243_CHEMBL4554319_CHEMBL4560984,CHEMBL279
C=CC(=O)N1CCN(CCCn2c(=O)c(-c3c(Cl)c(OC)cc(OC)c3Cl)cc3cnc(NC)nc32)CC1,6.151810883008601,CHEMBL4068509,CHEMBL279
C=CC(=O)Nc1cc(Nc2ncnc3ccc(-c4cnc5ccccc5c4)cc23)ccc1C,6.251114559990484,CHEMBL4796749,CHEMBL4005
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCC(=O)CN(C)C,6.987162775294828,CHEMBL4547332,CHEMBL279
C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3ccc(F)cc3)cc2)cn1,8.098541678603887,CHEMBL4171943,CHEMBL279
C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(C(C)C)c3)cc2)cn1,8.67778070526608,CHEMBL4175773,CHEMBL279
C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)cn1,6.487022260656586,CHEMBL4169668,CHEMBL279
C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)cn1,8.628932137728263,CHEMBL4171543,CHEMBL279
C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)cc1,6.5951662833800615,CHEMBL4246563,CHEMBL4005
C=CC(=O)Nc1cccc(-c2c[nH]c3nccc(-c4[nH]c(CCCO)nc4-c4ccc(F)cc4)c23)c1,6.669586226650809,CHEMBL4071827,CHEMBL260
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3c(C)cccc3C)cc2)n1,6.381732195399193,CHEMBL4170942,CHEMBL279
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3ccc(C(C)(C)C)cc3)cc2)n1,7.924453038607469,CHEMBL4164213,CHEMBL279
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3ccc(C)c(Cl)c3)cc2)n1,8.1518108830086,CHEMBL4160813,CHEMBL279
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)n1,8.209714835966759,CHEMBL4165320,CHEMBL279
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)n1,7.71669877129645,CHEMBL4159244,CHEMBL279
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)n1,6.910766268634601,CHEMBL4175530,CHEMBL279
C=CC(=O)Nc1cccc(-c2ccc(NC(=O)Nc3ccccc3F)cc2)n1,7.95116991347165,CHEMBL4174374,CHEMBL279
C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)c1,6.068033885271827,CHEMBL4559706,CHEMBL4005
C=CC(=O)Nc1cccc(C2=C(c3cn(C(C)C)c4ncccc34)C(=O)NC2=O)c1,7.468521082957745,CHEMBL4648050,CHEMBL262
C=CC(=O)Nc1cccc(C2=C(c3cn(C)c4cc(F)ccc34)C(=O)NC2=O)c1,6.701146923590294,CHEMBL4632696,CHEMBL262
C=CC(=O)Nc1cccc(C2=C(c3cn(C)c4cc(OC)ccc34)C(=O)NC2=O)c1,6.161150909262744,CHEMBL4647220,CHEMBL262
C=CC(=O)Nc1cccc(C2=C(c3cn(C)c4ccc(F)cc34)C(=O)NC2=O)c1,6.823908740944319,CHEMBL4649363,CHEMBL262
C=CC(=O)c1ccc2nc(NC(=O)NCc3ccc(OC)cc3)[nH]c2c1,5.739928612014925,CHEMBL4516941,CHEMBL262
C=CC(=O)c1ccc2nc(NC(=O)NCc3ccc(OC)cc3)sc2c1,5.392544976785332,CHEMBL4573681,CHEMBL262
C=CC1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,6.310691140876379,CHEMBL2409142_CHEMBL4757542,CHEMBL220
C=CCC1CNC(C(=O)N2CCCC2C#N)C1,8.455931955649724,CHEMBL245069,CHEMBL284
C=CCCC(=O)NC(Cc1cccc(CC=C)c1)C(O)CNC1CC2(CCC2)Oc2ccc(CC)cc21,6.958607314841775,CHEMBL2407495,CHEMBL4822
C=CCCCC(=O)NC(Cc1cccc(CC=C)c1)C(O)CNC1CC2(CCC2)Oc2ccc(CC)cc21,7.346787486224656,CHEMBL2407496,CHEMBL4822
C=CCCCCC(=O)NC(Cc1cccc(CC=C)c1)C(O)CNC1CC2(CCC2)Oc2ccc(CC)cc21,7.036212172654444,CHEMBL2407338,CHEMBL4822
C=CCCCNc1c2c(nc3ccc(OC)cc13)CCCC2,5.657577319177793,CHEMBL1917825,CHEMBL220
C=CCCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,7.876148359032914,CHEMBL4217666,CHEMBL220
C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,9.602059991327964,CHEMBL4247128,CHEMBL1865
C=CCN(C)c1nccc(Nc2cc(NC(=O)c3ccnc(N4CCOCC4)c3)ccc2C)n1,6.958607314841775,CHEMBL182772,CHEMBL260
C=CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1,7.387216143280264,CHEMBL261462,CHEMBL284
C=CCN(CC=C)C(=O)C=Cc1c(C=Cc2ccc(OC)cc2)cc(OC)cc1OC,5.096367483915762,CHEMBL2334134,CHEMBL230
C=CCN1CCC2(C)c3cc(OC(=O)NC)ccc3N(C)C12,7.346787486224656,CHEMBL307721_CHEMBL74620,CHEMBL220
C=CCN1CCN(Cc2cc3nc(-n4c(CC)nc5ccccc54)nc(N4CCOCC4)c3s2)C(=O)C1,6.530177984021837,CHEMBL4788725,CHEMBL4005
C=CCNC(=S)NNc1c2c(nc3ccccc13)CCCC2,5.238824186844269,CHEMBL4556651,CHEMBL220
C=CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,7.176525770829699,CHEMBL4212713,CHEMBL220
C=CCOC1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,8.886056647693163,CHEMBL2031951,CHEMBL2409
C=CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,5.732828271596986,CHEMBL223645,CHEMBL260
C=CCON=Cc1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F,7.2839966563652,CHEMBL221224,CHEMBL279
C=CCOc1ccc(C=NC23CC(C)=CC(Cc4[nH]c(=O)ccc42)C3=CC)cc1,7.508638306165727,CHEMBL606538,CHEMBL220
C=CCOc1ccc2c(C3=C(c4cn(C)c5ccc(Br)cc45)C(=O)NC3=O)coc2c1,7.316052869248487,CHEMBL489845,CHEMBL262
C=CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1,8.202732459169283,CHEMBL189122,CHEMBL220
C=CCn1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1C(F)(F)F,7.1249387366083,CHEMBL66856,CHEMBL230
C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,7.744727494896693,CHEMBL1288618,CHEMBL230
C=Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,8.096910013008056,CHEMBL1650426,CHEMBL284
C=Cc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,6.508638306165727,CHEMBL41405,CHEMBL230
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,5.638272163982407,CHEMBL3287267,CHEMBL1865
C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c2ccccc21,6.468521082957745,CHEMBL362350,CHEMBL220
CC#CC#Cc1ccc(C#CC(O)CO)s1,5.562249437179612,CHEMBL3343899,CHEMBL284
CC#CC(=O)NCCCN1CCC(CNC(=O)c2n[nH]c3ccc(OC)cc23)CC1,6.275724130399211,CHEMBL3735772,CHEMBL262
CC#CC(=O)Nc1ccc(F)c(C2(C)Cc3c(F)cncc3C(N)=N2)c1,7.267606240177031,CHEMBL4560473,CHEMBL4822
